order_id,user_id,order_date,category,order_value,delivery_time,coupon_used
O000310,U04608,2025-01-22,Dairy,837,19,No
O000311,U09575,2025-09-25,Fruits,682,27,No
O000312,U01676,2025-02-17,Personal Care,399,20,Yes
O000313,U04877,2025-12-07,Dairy,806,28,Yes
O000314,U04178,2025-07-04,Vegetables,290,32,Yes
O000315,U08901,2025-08-02,Fruits,353,18,No
O000316,U01055,2025-07-07,Snacks,1067,19,No
O000317,U00399,2025-10-02,Personal Care,1142,16,No
O000318,U04066,2025-08-12,Snacks,888,22,Yes
O000319,U07877,2025-01-25,Snacks,513,11,Yes
O000320,U02040,2025-03-08,Fruits,521,22,No
O000321,U00272,2025-02-15,Personal Care,334,12,No
O000322,U06012,2025-03-07,Personal Care,245,33,No
O000323,U06441,2025-08-06,Vegetables,658,26,No
O000324,U09604,2025-12-22,Vegetables,853,24,Yes
O000325,U02913,2025-02-04,Household,969,32,No
O000326,U04444,2025-06-05,Fruits,431,33,No
O000327,U06347,2025-07-11,Household,408,34,No
O000328,U08005,2025-12-28,Fruits,562,9,Yes
O000329,U02986,2025-01-23,Vegetables,817,26,No
O000330,U08071,2025-11-21,Household,247,10,No
O000331,U07283,2025-07-30,Snacks,968,15,Yes
O000332,U04632,2025-08-11,Snacks,746,21,Yes
O000333,U04652,2025-09-24,Personal Care,297,29,Yes
O000334,U05874,2025-12-15,Snacks,127,29,No
O000335,U06212,2025-04-05,Vegetables,645,27,No
O000336,U06796,2025-11-11,Fruits,924,24,Yes
O000337,U05303,2025-09-01,Vegetables,958,16,No
O000338,U08452,2025-02-11,Household,1067,31,Yes
O000339,U02970,2025-04-23,Household,1158,18,Yes
O000340,U03337,2025-01-22,Household,922,14,No
O000341,U00781,2025-08-27,Dairy,166,17,No
O000342,U06767,2025-05-11,Vegetables,1199,18,No
O000343,U03583,2025-07-05,Household,1196,17,No
O000344,U04149,2025-11-21,Household,324,29,Yes
O000345,U06268,2025-07-23,Vegetables,327,29,No
O000346,U00061,2025-07-31,Vegetables,1165,19,No
O000347,U02437,2025-12-19,Vegetables,398,32,Yes
O000348,U09036,2025-07-12,Snacks,268,9,No
O000349,U09180,2025-04-30,Snacks,393,9,No
O000350,U05578,2025-09-19,Personal Care,1111,16,Yes
O000351,U01409,2025-05-03,Household,804,31,No
O000352,U05539,2025-01-13,Snacks,322,23,No
O000353,U09884,2025-05-05,Household,146,25,Yes
O000354,U00819,2025-09-23,Household,309,33,No
O000355,U06594,2025-05-23,Fruits,1074,18,Yes
O000356,U00581,2025-05-01,Snacks,405,18,No
O000357,U03407,2025-06-03,Vegetables,900,15,No
O000358,U02369,2025-03-07,Fruits,1176,11,Yes
O000359,U02840,2025-10-04,Personal Care,114,32,Yes
O000360,U08713,2025-09-07,Dairy,101,19,Yes
O000361,U07871,2025-12-10,Household,301,25,No
O000362,U04413,2025-10-04,Dairy,177,12,Yes
O000363,U00328,2025-12-10,Household,305,30,No
O000364,U08727,2025-03-01,Personal Care,1046,19,No
O000365,U07663,2025-04-14,Personal Care,461,13,No
O000366,U08913,2025-08-20,Fruits,272,34,No
O000367,U08795,2025-02-23,Snacks,507,25,No
O000368,U05853,2025-06-10,Personal Care,425,25,Yes
O000369,U06463,2025-09-12,Personal Care,650,34,No
O000370,U03671,2025-06-05,Snacks,677,25,No
O000371,U08011,2025-08-25,Vegetables,595,17,No
O000372,U03592,2025-07-25,Personal Care,543,15,No
O000373,U08691,2025-02-11,Dairy,936,21,No
O000374,U04186,2025-01-29,Vegetables,549,32,No
O000375,U06653,2025-11-14,Fruits,308,29,Yes
O000376,U06900,2025-01-03,Fruits,468,18,Yes
O000377,U08712,2025-06-03,Personal Care,739,14,Yes
O000378,U08135,2025-01-24,Fruits,1080,13,No
O000379,U03187,2025-01-14,Fruits,164,27,No
O000380,U05664,2025-03-16,Personal Care,503,27,No
O000381,U03172,2025-03-09,Personal Care,1083,28,Yes
O000382,U09037,2025-11-19,Snacks,181,34,No
O000383,U09599,2025-08-18,Personal Care,365,32,Yes
O000384,U03777,2025-07-06,Personal Care,393,14,Yes
O000385,U06463,2025-08-31,Dairy,296,34,Yes
O000386,U07733,2025-01-01,Personal Care,1016,31,No
O000387,U06211,2025-07-25,Fruits,652,26,No
O000388,U09374,2025-03-18,Snacks,912,18,No
O000389,U06715,2025-02-04,Vegetables,962,8,No
O000390,U03481,2025-12-11,Fruits,364,18,No
O000391,U04257,2025-06-22,Personal Care,171,14,Yes
O000392,U00528,2025-12-07,Household,1163,20,Yes
O000393,U06705,2025-02-06,Dairy,211,12,No
O000394,U08687,2025-10-10,Household,1093,29,Yes
O000395,U02845,2025-10-04,Dairy,660,19,No
O000396,U06341,2025-02-27,Household,386,20,Yes
O000397,U06097,2025-12-04,Personal Care,315,34,Yes
O000398,U08565,2025-05-05,Snacks,572,25,No
O000399,U07409,2025-12-16,Vegetables,858,12,Yes
O000400,U05305,2025-01-02,Dairy,1039,15,Yes
O000401,U09913,2025-08-31,Fruits,905,15,No
O000402,U09681,2025-08-15,Dairy,1079,17,Yes
O000403,U07414,2025-01-30,Household,134,26,Yes
O000404,U00106,2025-12-03,Vegetables,270,23,Yes
O000405,U01046,2025-02-21,Fruits,711,12,Yes
O000406,U05912,2025-04-25,Snacks,308,26,No
O000407,U08092,2025-09-09,Household,345,10,Yes
O000408,U04409,2025-05-21,Vegetables,976,8,No
O000409,U03841,2025-12-19,Personal Care,146,14,No
O000410,U09061,2025-05-23,Household,243,10,No
O000411,U07962,2025-09-06,Snacks,729,30,Yes
O000412,U07666,2025-05-03,Fruits,294,8,Yes
O000413,U07293,2025-07-22,Personal Care,971,27,Yes
O000414,U02743,2025-05-19,Vegetables,516,12,No
O000415,U08022,2025-03-31,Vegetables,162,34,Yes
O000416,U03850,2025-05-29,Vegetables,925,34,No
O000417,U06542,2025-09-11,Dairy,108,22,No
O000418,U01376,2025-08-22,Dairy,592,9,Yes
O000419,U08173,2025-06-16,Fruits,173,21,No
O000420,U04260,2025-12-16,Vegetables,816,26,No
O000421,U03891,2025-04-04,Household,755,21,Yes
O000422,U01903,2025-03-19,Personal Care,358,22,No
O000423,U04513,2025-07-11,Fruits,1144,30,No
O000424,U05584,2025-04-13,Snacks,666,31,Yes
O000425,U03715,2025-03-18,Fruits,935,14,Yes
O000426,U06234,2025-02-24,Fruits,979,27,No
O000427,U00632,2025-03-19,Personal Care,405,34,No
O000428,U04770,2025-02-19,Vegetables,333,20,No
O000429,U01834,2025-08-25,Fruits,249,31,No
O000430,U09993,2025-04-08,Fruits,947,12,Yes
O000431,U06414,2025-05-11,Vegetables,737,16,Yes
O000432,U07521,2025-08-18,Fruits,381,29,No
O000433,U08294,2025-07-27,Dairy,570,17,Yes
O000434,U09605,2025-04-26,Household,413,15,No
O000435,U04339,2025-04-26,Dairy,426,30,No
O000436,U04129,2025-07-25,Vegetables,836,11,Yes
O000437,U08273,2025-06-23,Vegetables,607,16,No
O000438,U07253,2025-02-10,Dairy,1065,10,Yes
O000439,U03847,2025-03-31,Vegetables,507,12,No
O000440,U01832,2025-12-17,Personal Care,280,22,No
O000441,U02211,2025-05-07,Household,671,13,No
O000442,U07612,2025-07-09,Dairy,298,34,No
O000443,U06789,2025-04-28,Dairy,554,15,Yes
O000444,U06076,2025-06-05,Dairy,553,12,Yes
O000445,U04101,2025-09-20,Dairy,421,25,Yes
O000446,U00216,2025-02-11,Household,696,11,Yes
O000447,U06102,2025-03-15,Personal Care,889,25,No
O000448,U05036,2025-08-01,Fruits,778,33,Yes
O000449,U03789,2025-11-04,Dairy,353,26,Yes
O000450,U02774,2025-12-14,Personal Care,656,21,No
O000451,U00602,2025-09-26,Dairy,532,18,Yes
O000452,U01873,2025-12-08,Fruits,854,16,No
O000453,U06457,2025-04-14,Household,111,26,No
O000454,U00178,2025-10-28,Dairy,725,21,Yes
O000455,U00692,2025-08-06,Vegetables,894,10,Yes
O000456,U05771,2025-08-27,Snacks,632,34,No
O000457,U02078,2025-09-15,Dairy,946,16,Yes
O000458,U05806,2025-09-06,Dairy,603,11,No
O000459,U08919,2025-06-28,Fruits,219,9,No
O000460,U05498,2025-03-22,Personal Care,932,11,Yes
O000461,U01935,2025-01-12,Fruits,138,16,No
O000462,U06204,2025-08-22,Snacks,332,31,No
O000463,U03675,2025-01-18,Snacks,289,34,No
O000464,U02054,2025-09-19,Vegetables,707,28,Yes
O000465,U09950,2025-07-25,Household,812,18,Yes
O000466,U02053,2025-06-21,Vegetables,1158,15,Yes
O000467,U07075,2025-01-07,Fruits,1167,10,Yes
O000468,U05559,2025-01-31,Snacks,700,34,Yes
O000469,U01038,2025-01-06,Vegetables,687,17,Yes
O000470,U03345,2025-12-22,Dairy,568,24,Yes
O000471,U08073,2025-04-21,Snacks,329,18,No
O000472,U00680,2025-02-23,Personal Care,791,30,Yes
O000473,U06692,2025-03-30,Dairy,428,24,Yes
O000474,U07242,2025-02-11,Fruits,621,9,Yes
O000475,U04443,2025-03-26,Snacks,964,11,Yes
O000476,U05681,2025-09-18,Dairy,336,32,No
O000477,U07604,2025-04-01,Fruits,1159,20,Yes
O000478,U03269,2025-06-28,Personal Care,247,31,Yes
O000479,U03281,2025-06-12,Snacks,497,15,No
O000480,U03103,2025-11-20,Vegetables,658,14,No
O000481,U08377,2025-12-16,Vegetables,1067,17,Yes
O000482,U04686,2025-02-25,Fruits,385,32,Yes
O000483,U04567,2025-12-19,Fruits,286,27,No
O000484,U03933,2025-03-05,Personal Care,1115,22,No
O000485,U09831,2025-11-03,Dairy,869,16,No
O000486,U02479,2025-06-04,Dairy,906,12,No
O000487,U00956,2025-05-02,Personal Care,578,13,Yes
O000488,U07774,2025-07-25,Fruits,364,29,No
O000489,U03350,2025-11-05,Personal Care,721,18,Yes
O000490,U06560,2025-07-29,Household,1112,21,No
O000491,U01787,2025-08-22,Fruits,1166,15,No
O000492,U00724,2025-07-29,Personal Care,1105,13,No
O000493,U07298,2025-08-02,Personal Care,624,22,No
O000494,U06009,2025-11-20,Dairy,638,33,No
O000495,U06720,2025-01-20,Personal Care,881,25,Yes
O000496,U02042,2025-04-18,Vegetables,420,17,No
O000497,U08604,2025-07-27,Fruits,723,23,Yes
O000498,U00515,2025-08-11,Snacks,627,34,No
O000499,U09659,2025-03-13,Vegetables,606,15,No
O000500,U01123,2025-01-20,Fruits,669,15,Yes
O000501,U09662,2025-06-19,Fruits,742,31,Yes
O000502,U02495,2025-09-28,Snacks,1022,23,Yes
O000503,U03603,2025-08-08,Snacks,990,32,No
O000504,U00902,2025-02-20,Vegetables,1033,18,No
O000505,U06603,2025-03-21,Fruits,665,24,No
O000506,U08262,2025-11-24,Fruits,662,15,No
O000507,U08146,2025-11-28,Dairy,658,25,No
O000508,U09711,2025-08-01,Dairy,666,25,Yes
O000509,U09662,2025-11-15,Fruits,242,21,No
O000510,U03150,2025-06-07,Vegetables,499,30,Yes
O000511,U01217,2025-10-07,Household,203,29,Yes
O000512,U07356,2025-06-27,Vegetables,483,13,No
O000513,U05966,2025-07-11,Vegetables,783,23,Yes
O000514,U07370,2025-06-13,Fruits,446,23,Yes
O000515,U09958,2025-06-18,Snacks,1008,26,Yes
