user_id,membership_type
U01190,Premium
U01191,Free
U01192,Free
U01193,Free
U01194,Free
U01195,Free
U01196,Free
U01197,Premium
U01198,Premium
U01199,Free
U01200,Free
U01201,Premium
U01202,Premium
U01203,Free
U01204,Premium
U01205,Free
U01206,Premium
U01207,Premium
U01208,Free
U01209,Free
U01210,Free
U01211,Free
U01212,Premium
U01213,Free
U01214,Premium
U01215,Free
U01216,Free
U01217,Premium
U01218,Premium
U01219,Free
U01220,Free
U01221,Free
U01222,Premium
U01223,Free
U01224,Premium
U01225,Premium
U01226,Free
U01227,Free
U01228,Free
U01229,Free
U01230,Free
U01231,Free
U01232,Free
U01233,Free
U01234,Free
U01235,Free
U01236,Free
U01237,Free
U01238,Premium
U01239,Premium
U01240,Free
U01241,Free
U01242,Free
U01243,Premium
U01244,Free
U01245,Premium
U01246,Free
U01247,Premium
U01248,Free
U01249,Premium
U01250,Free
U01251,Free
U01252,Free
U01253,Premium
U01254,Premium
U01255,Free
U01256,Free
U01257,Free
U01258,Premium
U01259,Free
U01260,Free
U01261,Free
U01262,Free
U01263,Free
U01264,Free
U01265,Free
U01266,Free
U01267,Free
U01268,Premium
U01269,Free
U01270,Free
U01271,Free
U01272,Free
U01273,Premium
U01274,Free
U01275,Free
U01276,Free
U01277,Premium
U01278,Free
U01279,Free
U01280,Free
U01281,Free
U01282,Premium
U01283,Premium
U01284,Free
U01285,Free
U01286,Premium
U01287,Free
U01288,Free
U01289,Free
U01290,Premium
U01291,Free
U01292,Free
U01293,Free
U01294,Free
U01295,Free
U01296,Free
U01297,Premium
U01298,Free
U01299,Premium
U01300,Free
U01301,Free
U01302,Free
U01303,Premium
U01304,Premium
U01305,Free
U01306,Free
U01307,Premium
U01308,Free
U01309,Premium
U01310,Premium
U01311,Premium
U01312,Free
U01313,Premium
U01314,Premium
U01315,Premium
U01316,Free
U01317,Free
U01318,Premium
U01319,Free
U01320,Premium
U01321,Free
U01322,Premium
U01323,Premium
U01324,Premium
U01325,Premium
U01326,Free
U01327,Free
U01328,Free
U01329,Premium
U01330,Free
U01331,Premium
U01332,Free
U01333,Free
U01334,Free
U01335,Premium
U01336,Free
U01337,Premium
U01338,Premium
U01339,Premium
U01340,Premium
U01341,Free
U01342,Free
U01343,Free
U01344,Free
U01345,Premium
U01346,Premium
U01347,Free
U01348,Free
U01349,Premium
U01350,Free
U01351,Free
U01352,Free
U01353,Free
U01354,Free
U01355,Free
U01356,Free
U01357,Premium
U01358,Free
U01359,Free
U01360,Free
U01361,Free
U01362,Free
U01363,Premium
U01364,Free
U01365,Free
U01366,Premium
U01367,Premium
U01368,Free
U01369,Free
U01370,Free
U01371,Free
U01372,Free
U01373,Premium
U01374,Free
U01375,Free
U01376,Free
U01377,Premium
U01378,Free
U01379,Free
U01380,Free
U01381,Free
U01382,Free
U01383,Free
U01384,Free
U01385,Premium
U01386,Free
U01387,Free
U01388,Premium
U01389,Free
U01390,Premium
U01391,Premium
U01392,Free
U01393,Free
U01394,Free
U01395,Free
U01396,Premium
U01397,Premium
U01398,Free
U01399,Free
U01400,Premium
U01401,Free
U01402,Free
U01403,Free
U01404,Free
U01405,Premium
U01406,Premium
U01407,Free
U01408,Free
U01409,Premium
U01410,Free
U01411,Free
U01412,Premium
U01413,Free
U01414,Premium
U01415,Free
U01416,Free
U01417,Premium
U01418,Premium
U01419,Free
U01420,Free
U01421,Free
U01422,Premium
U01423,Free
U01424,Free
U01425,Premium
U01426,Free
U01427,Free
U01428,Free
U01429,Premium
U01430,Premium
U01431,Free
U01432,Free
U01433,Free
U01434,Free
U01435,Free
U01436,Premium
U01437,Premium
U01438,Free
U01439,Free
U01440,Free
U01441,Free
U01442,Free
U01443,Free
U01444,Free
U01445,Free
U01446,Free
U01447,Premium
U01448,Free
U01449,Free
U01450,Free
U01451,Free
U01452,Free
U01453,Free
U01454,Free
U01455,Free
U01456,Premium
U01457,Premium
U01458,Free
U01459,Free
U01460,Free
U01461,Free
U01462,Free
U01463,Free
U01464,Free
U01465,Premium
U01466,Premium
U01467,Free
U01468,Premium
U01469,Premium
U01470,Free
U01471,Premium
U01472,Free
U01473,Premium
U01474,Free
U01475,Free
U01476,Free
U01477,Free
U01478,Free
U01479,Free
U01480,Premium
U01481,Free
U01482,Free
U01483,Free
U01484,Free
U01485,Premium
U01486,Premium
U01487,Premium
U01488,Free
U01489,Free
U01490,Free
U01491,Premium
U01492,Premium
U01493,Free
U01494,Free
U01495,Free
U01496,Free
U01497,Free
U01498,Free
U01499,Free
U01500,Free
U01501,Free
U01502,Free
U01503,Premium
U01504,Free
U01505,Free
U01506,Free
U01507,Free
U01508,Premium
U01509,Free
U01510,Free
U01511,Free
U01512,Free
U01513,Free
U01514,Premium
U01515,Premium
U01516,Free
U01517,Free
U01518,Premium
U01519,Free
U01520,Free
U01521,Premium
U01522,Premium
U01523,Free
U01524,Premium
U01525,Premium
U01526,Premium
U01527,Premium
U01528,Free
U01529,Free
U01530,Free
U01531,Free
U01532,Free
U01533,Free
U01534,Free
U01535,Free
U01536,Free
U01537,Free
U01538,Free
U01539,Premium
U01540,Free
U01541,Premium
U01542,Premium
U01543,Free
U01544,Free
U01545,Free
U01546,Free
U01547,Free
U01548,Free
U01549,Free
U01550,Free
U01551,Free
U01552,Free
U01553,Free
U01554,Free
U01555,Free
U01556,Free
U01557,Free
U01558,Free
U01559,Free
U01560,Free
U01561,Free
U01562,Premium
U01563,Free
U01564,Free
U01565,Free
U01566,Premium
U01567,Premium
U01568,Free
U01569,Free
U01570,Free
U01571,Free
U01572,Free
U01573,Premium
U01574,Free
U01575,Premium
U01576,Free
U01577,Free
U01578,Free
U01579,Free
U01580,Free
U01581,Free
U01582,Premium
U01583,Free
U01584,Premium
U01585,Free
U01586,Premium
U01587,Premium
U01588,Free
U01589,Premium
U01590,Premium
U01591,Free
U01592,Free
U01593,Premium
U01594,Free
U01595,Free
U01596,Free
U01597,Free
U01598,Premium
U01599,Free
U01600,Premium
U01601,Premium
U01602,Free
U01603,Free
U01604,Free
U01605,Free
U01606,Free
U01607,Premium
U01608,Premium
U01609,Free
U01610,Premium
U01611,Free
U01612,Free
U01613,Free
U01614,Free
U01615,Free
U01616,Free
U01617,Premium
U01618,Premium
U01619,Free
U01620,Premium
U01621,Free
U01622,Premium
U01623,Premium
U01624,Premium
U01625,Free
U01626,Premium
U01627,Premium
U01628,Free
U01629,Free
U01630,Free
U01631,Free
U01632,Premium
U01633,Premium
U01634,Free
U01635,Free
U01636,Free
U01637,Premium
U01638,Free
U01639,Free
U01640,Free
U01641,Premium
U01642,Free
U01643,Premium
U01644,Premium
U01645,Free
U01646,Premium
U01647,Free
U01648,Free
U01649,Free
U01650,Free
U01651,Premium
U01652,Premium
U01653,Free
U01654,Free
U01655,Free
U01656,Free
U01657,Free
U01658,Premium
U01659,Free
U01660,Free
U01661,Free
U01662,Free
U01663,Premium
U01664,Free
U01665,Free
U01666,Premium
U01667,Free
U01668,Premium
U01669,Free
U01670,Free
U01671,Free
U01672,Free
U01673,Premium
U01674,Premium
U01675,Free
U01676,Free
U01677,Free
U01678,Free
U01679,Free
U01680,Free
U01681,Free
U01682,Free
U01683,Free
U01684,Free
U01685,Free
U01686,Free
U01687,Free
U01688,Free
U01689,Premium
U01690,Free
U01691,Free
U01692,Free
U01693,Free
U01694,Free
U01695,Free
U01696,Free
U01697,Premium
U01698,Free
U01699,Premium
U01700,Premium
U01701,Premium
U01702,Free
U01703,Premium
U01704,Free
U01705,Free
U01706,Free
U01707,Premium
U01708,Premium
U01709,Free
U01710,Free
U01711,Premium
U01712,Free
U01713,Premium
U01714,Free
U01715,Premium
U01716,Free
U01717,Free
U01718,Free
U01719,Free
U01720,Premium
U01721,Free
U01722,Free
U01723,Premium
U01724,Premium
U01725,Free
U01726,Premium
U01727,Free
U01728,Free
U01729,Free
U01730,Premium
U01731,Free
U01732,Premium
U01733,Premium
U01734,Free
U01735,Free
U01736,Premium
U01737,Premium
U01738,Free
U01739,Free
U01740,Free
U01741,Free
U01742,Free
U01743,Free
U01744,Free
U01745,Free
U01746,Premium
U01747,Free
U01748,Free
U01749,Premium
U01750,Free
U01751,Free
U01752,Free
U01753,Free
U01754,Free
U01755,Free
U01756,Premium
U01757,Premium
U01758,Premium
U01759,Free
U01760,Premium
U01761,Premium
U01762,Free
U01763,Free
U01764,Free
U01765,Free
U01766,Free
U01767,Free
U01768,Free
U01769,Free
U01770,Free
U01771,Premium
U01772,Free
U01773,Free
U01774,Free
U01775,Free
U01776,Free
U01777,Free
U01778,Free
U01779,Free
U01780,Premium
U01781,Free
U01782,Free
U01783,Free
U01784,Free
U01785,Premium
U01786,Free
U01787,Premium
U01788,Free
U01789,Free
U01790,Free
U01791,Premium
U01792,Free
U01793,Free
U01794,Free
U01795,Free
U01796,Free
U01797,Free
U01798,Free
U01799,Free
U01800,Free
U01801,Free
U01802,Premium
U01803,Free
U01804,Premium
U01805,Premium
U01806,Free
U01807,Free
U01808,Premium
U01809,Free
U01810,Free
U01811,Free
U01812,Free
U01813,Premium
U01814,Premium
U01815,Premium
U01816,Premium
U01817,Free
U01818,Free
U01819,Free
U01820,Free
U01821,Free
U01822,Free
U01823,Free
U01824,Free
U01825,Premium
U01826,Premium
U01827,Free
U01828,Free
U01829,Free
U01830,Free
U01831,Free
U01832,Premium
U01833,Free
U01834,Free
U01835,Free
U01836,Free
U01837,Free
U01838,Free
U01839,Free
U01840,Free
U01841,Free
U01842,Premium
U01843,Free
U01844,Premium
U01845,Free
U01846,Premium
U01847,Free
U01848,Free
U01849,Free
U01850,Free
U01851,Free
U01852,Premium
U01853,Free
U01854,Free
U01855,Free
U01856,Free
U01857,Premium
U01858,Free
U01859,Free
U01860,Premium
U01861,Free
U01862,Free
U01863,Premium
U01864,Free
U01865,Free
U01866,Free
U01867,Free
U01868,Free
U01869,Free
U01870,Free
U01871,Free
U01872,Free
U01873,Free
U01874,Free
U01875,Premium
U01876,Free
U01877,Free
U01878,Free
U01879,Free
U01880,Free
U01881,Free
U01882,Premium
U01883,Free
U01884,Free
U01885,Free
U01886,Free
U01887,Premium
U01888,Free
U01889,Free
U01890,Free
U01891,Free
U01892,Free
U01893,Premium
U01894,Premium
U01895,Premium
U01896,Free
U01897,Premium
U01898,Free
U01899,Free
U01900,Free
U01901,Free
U01902,Free
U01903,Free
U01904,Free
U01905,Free
U01906,Free
U01907,Free
U01908,Free
U01909,Free
U01910,Free
U01911,Free
U01912,Free
U01913,Free
U01914,Free
U01915,Free
