session_id,user_id,app_open,searched,add_to_cart,checkout,order_completed
S000131,U05538,Yes,Yes,No,No,Yes
S000132,U03833,Yes,Yes,Yes,Yes,Yes
S000133,U04382,Yes,Yes,Yes,No,Yes
S000134,U01252,Yes,Yes,Yes,No,Yes
S000135,U05004,Yes,Yes,No,No,No
S000136,U01076,Yes,Yes,No,No,No
S000137,U07540,Yes,Yes,Yes,Yes,Yes
S000138,U00928,Yes,Yes,Yes,Yes,No
S000139,U01399,Yes,Yes,Yes,No,No
S000140,U02119,Yes,Yes,Yes,Yes,Yes
S000141,U03921,Yes,Yes,Yes,Yes,Yes
S000142,U02361,Yes,Yes,Yes,Yes,Yes
S000143,U04496,Yes,Yes,Yes,Yes,No
S000144,U00203,Yes,Yes,Yes,Yes,No
S000145,U04554,Yes,Yes,No,Yes,Yes
S000146,U01915,Yes,Yes,Yes,Yes,No
S000147,U09534,Yes,Yes,No,Yes,Yes
S000148,U03541,Yes,Yes,Yes,Yes,Yes
S000149,U08178,Yes,Yes,Yes,Yes,Yes
S000150,U09832,Yes,Yes,Yes,Yes,No
S000151,U02885,Yes,No,Yes,No,Yes
S000152,U06925,Yes,Yes,No,Yes,Yes
S000153,U00356,Yes,Yes,Yes,No,Yes
S000154,U06767,Yes,Yes,Yes,No,No
S000155,U08167,Yes,Yes,Yes,Yes,Yes
S000156,U05254,Yes,Yes,Yes,Yes,Yes
S000157,U03058,Yes,Yes,Yes,Yes,Yes
S000158,U08769,Yes,Yes,No,Yes,No
S000159,U05893,Yes,Yes,Yes,No,Yes
S000160,U09737,Yes,Yes,Yes,No,Yes
S000161,U05964,Yes,Yes,Yes,Yes,No
S000162,U06976,Yes,Yes,Yes,Yes,No
S000163,U05245,Yes,Yes,Yes,Yes,No
S000164,U06805,Yes,Yes,Yes,No,Yes
S000165,U05086,Yes,Yes,Yes,No,No
S000166,U05058,Yes,Yes,Yes,No,Yes
S000167,U07177,Yes,Yes,Yes,No,No
S000168,U01380,Yes,Yes,Yes,Yes,Yes
S000169,U01194,Yes,No,No,Yes,Yes
S000170,U04505,Yes,Yes,Yes,Yes,Yes
S000171,U02790,Yes,Yes,Yes,No,Yes
S000172,U00120,Yes,Yes,Yes,No,No
S000173,U07184,Yes,Yes,Yes,No,No
S000174,U08622,Yes,Yes,Yes,Yes,Yes
S000175,U09798,Yes,Yes,Yes,No,Yes
S000176,U03839,Yes,Yes,Yes,No,Yes
S000177,U03628,Yes,Yes,No,Yes,Yes
S000178,U02551,Yes,Yes,Yes,Yes,No
S000179,U07003,Yes,No,Yes,Yes,Yes
S000180,U04911,Yes,Yes,No,No,Yes
S000181,U00791,Yes,No,Yes,No,Yes
S000182,U07466,Yes,Yes,No,No,No
S000183,U05351,Yes,Yes,Yes,No,No
S000184,U07674,Yes,Yes,No,Yes,Yes
S000185,U04408,Yes,Yes,Yes,Yes,Yes
S000186,U08000,Yes,Yes,Yes,Yes,Yes
S000187,U06910,Yes,Yes,No,Yes,Yes
S000188,U03736,Yes,Yes,Yes,Yes,No
S000189,U02113,Yes,Yes,Yes,No,No
S000190,U00595,Yes,Yes,No,Yes,Yes
S000191,U02381,Yes,Yes,Yes,Yes,Yes
S000192,U05650,Yes,No,Yes,No,Yes
S000193,U09752,Yes,Yes,No,Yes,No
S000194,U03836,Yes,Yes,Yes,Yes,Yes
S000195,U01790,Yes,No,Yes,No,Yes
S000196,U02900,Yes,Yes,Yes,No,Yes
S000197,U03336,Yes,Yes,Yes,Yes,Yes
S000198,U03737,Yes,No,No,Yes,Yes
S000199,U07874,Yes,Yes,Yes,Yes,Yes
S000200,U07132,Yes,Yes,Yes,Yes,Yes
S000201,U01623,Yes,Yes,Yes,Yes,Yes
S000202,U04263,Yes,No,Yes,No,Yes
S000203,U09043,Yes,Yes,Yes,No,No
S000204,U08001,Yes,Yes,Yes,Yes,Yes
S000205,U07760,Yes,Yes,No,Yes,No
S000206,U01476,Yes,Yes,Yes,Yes,No
S000207,U06213,Yes,Yes,Yes,Yes,No
S000208,U08238,Yes,Yes,Yes,No,No
S000209,U03668,Yes,Yes,Yes,Yes,Yes
S000210,U08214,Yes,Yes,Yes,Yes,No
S000211,U08857,Yes,Yes,No,Yes,Yes
S000212,U08025,Yes,No,Yes,No,Yes
S000213,U04553,Yes,Yes,Yes,Yes,Yes
S000214,U02031,Yes,Yes,Yes,Yes,Yes
S000215,U07183,Yes,Yes,Yes,Yes,Yes
S000216,U03955,Yes,Yes,Yes,No,Yes
S000217,U08957,Yes,Yes,Yes,Yes,No
S000218,U06137,Yes,Yes,Yes,No,Yes
S000219,U02308,Yes,Yes,Yes,Yes,Yes
S000220,U03538,Yes,Yes,Yes,No,Yes
S000221,U00424,Yes,Yes,Yes,No,Yes
S000222,U02935,Yes,Yes,Yes,No,Yes
S000223,U00817,Yes,No,No,Yes,Yes
S000224,U06714,Yes,Yes,Yes,Yes,No
S000225,U01335,Yes,Yes,Yes,No,Yes
S000226,U09971,Yes,Yes,Yes,Yes,No
S000227,U01047,Yes,Yes,No,Yes,Yes
S000228,U00463,Yes,Yes,Yes,Yes,Yes
S000229,U00962,Yes,Yes,Yes,No,No
S000230,U08597,Yes,Yes,Yes,Yes,Yes
S000231,U02329,Yes,Yes,Yes,No,Yes
S000232,U00600,Yes,No,Yes,Yes,No
S000233,U04632,Yes,Yes,Yes,Yes,Yes
S000234,U08972,Yes,Yes,No,Yes,Yes
S000235,U01531,Yes,Yes,Yes,Yes,Yes
S000236,U04585,Yes,Yes,Yes,Yes,Yes
S000237,U03867,Yes,Yes,No,Yes,Yes
S000238,U05241,Yes,Yes,Yes,No,Yes
S000239,U00564,Yes,Yes,Yes,No,No
S000240,U02279,Yes,No,Yes,Yes,Yes
S000241,U06065,Yes,Yes,Yes,Yes,Yes
S000242,U06926,Yes,Yes,Yes,Yes,No
S000243,U01366,Yes,Yes,Yes,Yes,No
S000244,U09907,Yes,Yes,Yes,No,Yes
S000245,U08195,Yes,Yes,Yes,No,Yes
S000246,U02424,Yes,Yes,Yes,Yes,No
S000247,U06797,Yes,Yes,Yes,Yes,Yes
S000248,U07973,Yes,Yes,Yes,No,No
S000249,U07560,Yes,Yes,Yes,Yes,Yes
S000250,U06291,Yes,Yes,Yes,Yes,Yes
S000251,U01523,Yes,No,Yes,No,No
S000252,U04122,Yes,Yes,Yes,Yes,No
S000253,U09769,Yes,Yes,Yes,No,No
S000254,U08936,Yes,Yes,No,No,Yes
S000255,U02407,Yes,Yes,Yes,No,Yes
S000256,U04628,Yes,Yes,Yes,Yes,Yes
S000257,U00360,Yes,Yes,Yes,Yes,Yes
S000258,U04642,Yes,Yes,Yes,No,No
S000259,U02019,Yes,Yes,Yes,Yes,Yes
S000260,U04133,Yes,Yes,Yes,No,Yes
S000261,U03862,Yes,Yes,Yes,Yes,Yes
S000262,U08852,Yes,Yes,Yes,No,Yes
S000263,U05971,Yes,Yes,Yes,No,No
S000264,U05859,Yes,No,Yes,Yes,No
S000265,U00295,Yes,Yes,Yes,No,Yes
S000266,U08921,Yes,Yes,Yes,No,Yes
S000267,U06643,Yes,Yes,Yes,No,Yes
S000268,U02752,Yes,Yes,Yes,No,No
S000269,U02064,Yes,Yes,Yes,No,Yes
S000270,U04243,Yes,Yes,Yes,Yes,No
S000271,U07432,Yes,Yes,No,No,Yes
S000272,U01210,Yes,Yes,No,No,Yes
S000273,U09710,Yes,Yes,Yes,Yes,No
S000274,U04706,Yes,Yes,Yes,Yes,Yes
S000275,U02551,Yes,Yes,Yes,No,Yes
S000276,U05676,Yes,No,Yes,No,Yes
S000277,U03348,Yes,Yes,No,Yes,Yes
S000278,U01717,Yes,Yes,No,Yes,Yes
S000279,U03385,Yes,Yes,Yes,Yes,No
S000280,U03944,Yes,Yes,Yes,No,No
S000281,U03447,Yes,Yes,Yes,No,Yes
S000282,U02870,Yes,Yes,Yes,Yes,No
S000283,U09676,Yes,Yes,Yes,Yes,No
S000284,U03296,Yes,Yes,No,No,Yes
S000285,U00300,Yes,Yes,Yes,No,No
S000286,U01646,Yes,No,Yes,Yes,Yes
S000287,U04275,Yes,Yes,Yes,Yes,Yes
S000288,U04367,Yes,Yes,Yes,Yes,No
S000289,U06580,Yes,Yes,Yes,Yes,No
S000290,U05921,Yes,Yes,Yes,No,Yes
S000291,U06332,Yes,No,Yes,Yes,No
S000292,U04679,Yes,Yes,Yes,Yes,Yes
S000293,U08553,Yes,Yes,Yes,No,No
S000294,U04470,Yes,Yes,Yes,Yes,Yes
S000295,U05726,Yes,Yes,No,Yes,Yes
S000296,U06156,Yes,Yes,Yes,Yes,Yes
S000297,U00547,Yes,Yes,No,Yes,No
S000298,U09116,Yes,Yes,No,Yes,No
S000299,U02159,Yes,Yes,Yes,Yes,No
S000300,U03420,Yes,Yes,No,Yes,Yes
S000301,U06910,Yes,Yes,Yes,Yes,No
S000302,U00843,Yes,Yes,No,Yes,Yes
S000303,U06164,Yes,Yes,Yes,Yes,Yes
S000304,U04095,Yes,Yes,No,Yes,No
S000305,U09664,Yes,Yes,Yes,Yes,Yes
S000306,U00094,Yes,Yes,Yes,Yes,Yes
S000307,U08965,Yes,No,Yes,Yes,No
S000308,U06639,Yes,Yes,Yes,No,No
S000309,U08009,Yes,Yes,No,No,Yes
S000310,U00246,Yes,Yes,Yes,Yes,Yes
S000311,U02904,Yes,Yes,Yes,No,Yes
S000312,U01952,Yes,Yes,No,Yes,No
S000313,U06546,Yes,Yes,Yes,Yes,Yes
S000314,U08524,Yes,Yes,Yes,Yes,No
S000315,U08013,Yes,Yes,Yes,Yes,Yes
S000316,U03854,Yes,Yes,Yes,No,Yes
S000317,U08452,Yes,Yes,Yes,Yes,Yes
S000318,U01401,Yes,Yes,Yes,No,Yes
S000319,U01141,Yes,No,Yes,Yes,No
S000320,U04826,Yes,Yes,No,Yes,Yes
S000321,U01280,Yes,Yes,Yes,No,No
S000322,U00579,Yes,Yes,Yes,No,Yes
S000323,U00525,Yes,No,Yes,No,Yes
S000324,U06274,Yes,Yes,Yes,No,No
S000325,U00965,Yes,Yes,No,Yes,No
S000326,U00022,Yes,Yes,Yes,Yes,Yes
S000327,U08571,Yes,Yes,Yes,No,Yes
S000328,U08061,Yes,Yes,No,Yes,Yes
S000329,U05655,Yes,Yes,Yes,Yes,No
S000330,U07172,Yes,Yes,Yes,Yes,No
S000331,U03461,Yes,Yes,No,Yes,Yes
S000332,U01364,Yes,Yes,Yes,No,Yes
S000333,U03484,Yes,No,Yes,No,Yes
S000334,U07199,Yes,Yes,Yes,No,No
S000335,U03606,Yes,Yes,Yes,Yes,Yes
S000336,U08315,Yes,Yes,Yes,Yes,Yes
S000337,U03635,Yes,Yes,No,Yes,No
S000338,U03756,Yes,Yes,Yes,Yes,Yes
S000339,U02740,Yes,Yes,Yes,Yes,No
S000340,U01976,Yes,Yes,No,Yes,Yes
S000341,U00140,Yes,Yes,Yes,No,Yes
S000342,U02973,Yes,No,Yes,Yes,Yes
S000343,U01816,Yes,Yes,Yes,Yes,No
S000344,U09139,Yes,Yes,Yes,Yes,No
S000345,U04614,Yes,No,Yes,Yes,No
S000346,U05650,Yes,Yes,Yes,No,Yes
S000347,U08329,Yes,Yes,Yes,No,No
S000348,U01915,Yes,Yes,No,No,No
S000349,U02123,Yes,Yes,Yes,No,Yes
S000350,U06788,Yes,Yes,No,No,Yes
S000351,U01135,Yes,Yes,Yes,Yes,Yes
S000352,U03601,Yes,Yes,Yes,No,No
S000353,U09861,Yes,Yes,Yes,Yes,Yes
S000354,U09023,Yes,Yes,Yes,Yes,Yes
S000355,U04836,Yes,Yes,Yes,No,No
S000356,U07812,Yes,Yes,No,No,Yes
S000357,U00204,Yes,No,No,Yes,Yes
S000358,U05584,Yes,Yes,No,Yes,No
S000359,U08859,Yes,Yes,No,No,Yes
S000360,U06962,Yes,No,No,Yes,Yes
S000361,U01270,Yes,Yes,Yes,Yes,No
S000362,U08109,Yes,Yes,Yes,Yes,Yes
S000363,U08106,Yes,Yes,Yes,No,Yes
S000364,U04868,Yes,No,No,Yes,Yes
S000365,U02247,Yes,Yes,Yes,Yes,Yes
S000366,U05545,Yes,Yes,No,No,Yes
S000367,U04032,Yes,Yes,Yes,Yes,Yes
S000368,U03419,Yes,Yes,Yes,Yes,No
S000369,U05234,Yes,Yes,Yes,Yes,No
S000370,U01963,Yes,Yes,Yes,Yes,Yes
S000371,U02249,Yes,Yes,Yes,Yes,No
S000372,U09587,Yes,No,Yes,Yes,Yes
S000373,U01676,Yes,Yes,Yes,Yes,No
S000374,U06934,Yes,Yes,Yes,Yes,Yes
S000375,U07660,Yes,Yes,Yes,No,Yes
S000376,U07788,Yes,Yes,Yes,Yes,Yes
S000377,U00476,Yes,No,Yes,No,No
S000378,U03522,Yes,Yes,Yes,No,Yes
S000379,U04730,Yes,Yes,No,Yes,No
S000380,U08459,Yes,Yes,Yes,No,Yes
S000381,U00817,Yes,No,No,Yes,Yes
S000382,U03344,Yes,Yes,No,Yes,No
S000383,U07261,Yes,Yes,No,No,No
S000384,U02154,Yes,Yes,Yes,Yes,Yes
S000385,U09831,Yes,Yes,No,No,Yes
S000386,U01329,Yes,Yes,Yes,Yes,No
S000387,U05538,Yes,Yes,Yes,Yes,No
S000388,U08103,Yes,Yes,Yes,Yes,Yes
S000389,U05795,Yes,Yes,Yes,No,Yes
S000390,U05337,Yes,No,Yes,No,No
S000391,U01117,Yes,Yes,Yes,Yes,Yes
S000392,U08047,Yes,Yes,No,Yes,No
S000393,U01341,Yes,Yes,Yes,Yes,No
S000394,U00593,Yes,No,Yes,Yes,Yes
S000395,U09373,Yes,Yes,No,No,Yes
S000396,U03434,Yes,Yes,No,Yes,No
S000397,U01608,Yes,Yes,No,No,Yes
S000398,U03110,Yes,Yes,No,Yes,Yes
S000399,U01303,Yes,Yes,Yes,No,No
S000400,U05545,Yes,Yes,Yes,Yes,No
S000401,U06511,Yes,No,Yes,Yes,No
S000402,U09693,Yes,Yes,Yes,No,Yes
S000403,U00342,Yes,Yes,Yes,Yes,Yes
S000404,U01415,Yes,Yes,Yes,Yes,No
S000405,U05650,Yes,Yes,No,Yes,No
S000406,U08081,Yes,Yes,Yes,Yes,Yes
S000407,U09932,Yes,Yes,No,Yes,Yes
S000408,U04428,Yes,Yes,No,Yes,No
S000409,U07397,Yes,Yes,Yes,No,No
S000410,U09031,Yes,Yes,Yes,No,Yes
S000411,U01943,Yes,Yes,Yes,No,No
S000412,U05689,Yes,Yes,No,Yes,No
S000413,U04950,Yes,Yes,Yes,Yes,Yes
S000414,U09787,Yes,Yes,Yes,No,No
S000415,U02487,Yes,Yes,No,Yes,Yes
S000416,U09036,Yes,Yes,Yes,No,No
S000417,U08745,Yes,Yes,Yes,No,Yes
S000418,U01106,Yes,Yes,Yes,Yes,No
S000419,U01374,Yes,Yes,Yes,Yes,No
S000420,U09566,Yes,No,Yes,Yes,No
S000421,U02807,Yes,Yes,No,Yes,No
S000422,U09785,Yes,Yes,No,No,Yes
S000423,U02041,Yes,Yes,Yes,Yes,No
S000424,U08742,Yes,Yes,Yes,Yes,Yes
S000425,U09678,Yes,Yes,Yes,Yes,Yes
S000426,U00832,Yes,Yes,Yes,No,No
S000427,U07888,Yes,Yes,Yes,Yes,No
S000428,U08658,Yes,Yes,Yes,Yes,Yes
S000429,U05854,Yes,Yes,Yes,No,Yes
S000430,U04776,Yes,Yes,Yes,Yes,Yes
S000431,U01964,Yes,Yes,Yes,No,Yes
S000432,U06280,Yes,Yes,Yes,Yes,Yes
S000433,U01314,Yes,Yes,Yes,Yes,Yes
S000434,U02082,Yes,Yes,Yes,No,No
S000435,U09137,Yes,Yes,Yes,Yes,Yes
S000436,U07611,Yes,Yes,No,Yes,Yes
S000437,U05521,Yes,Yes,Yes,Yes,No
S000438,U08975,Yes,Yes,No,Yes,Yes
S000439,U09581,Yes,Yes,No,Yes,Yes
S000440,U07299,Yes,Yes,No,Yes,Yes
S000441,U01130,Yes,Yes,Yes,Yes,Yes
S000442,U06746,Yes,No,Yes,Yes,No
S000443,U09984,Yes,Yes,Yes,Yes,No
S000444,U02882,Yes,Yes,Yes,Yes,No
S000445,U07082,Yes,Yes,Yes,Yes,No
S000446,U02478,Yes,Yes,Yes,Yes,No
S000447,U05360,Yes,Yes,Yes,Yes,Yes
S000448,U02382,Yes,Yes,No,No,No
S000449,U04828,Yes,Yes,Yes,Yes,No
S000450,U09867,Yes,Yes,No,Yes,Yes
S000451,U05304,Yes,Yes,Yes,Yes,No
S000452,U01691,Yes,Yes,No,Yes,No
S000453,U03348,Yes,Yes,No,No,No
S000454,U01082,Yes,Yes,Yes,No,Yes
S000455,U04948,Yes,Yes,Yes,Yes,No
S000456,U01621,Yes,Yes,Yes,No,No
S000457,U07875,Yes,Yes,No,Yes,No
S000458,U06187,Yes,Yes,No,No,Yes
S000459,U03907,Yes,Yes,Yes,Yes,No
S000460,U08623,Yes,Yes,No,Yes,Yes
S000461,U01454,Yes,Yes,Yes,Yes,No
S000462,U06376,Yes,Yes,Yes,No,No
S000463,U09327,Yes,Yes,Yes,No,No
S000464,U03373,Yes,No,No,No,Yes
S000465,U06593,Yes,Yes,Yes,No,Yes
S000466,U01226,Yes,Yes,Yes,No,Yes
S000467,U09534,Yes,Yes,Yes,No,No
S000468,U04565,Yes,Yes,No,No,No
S000469,U00300,Yes,Yes,Yes,No,Yes
S000470,U03701,Yes,Yes,Yes,No,Yes
S000471,U03782,Yes,Yes,Yes,No,Yes
S000472,U01719,Yes,Yes,Yes,Yes,No
S000473,U05758,Yes,Yes,Yes,No,No
S000474,U08959,Yes,Yes,No,Yes,Yes
S000475,U05662,Yes,Yes,Yes,Yes,No
S000476,U04880,Yes,Yes,No,Yes,No
S000477,U03558,Yes,Yes,Yes,Yes,Yes
S000478,U06193,Yes,Yes,No,Yes,Yes
S000479,U09719,Yes,Yes,Yes,Yes,No
S000480,U08355,Yes,Yes,Yes,Yes,No
S000481,U06244,Yes,Yes,Yes,Yes,No
S000482,U09492,Yes,Yes,Yes,Yes,Yes
S000483,U04221,Yes,Yes,No,Yes,Yes
S000484,U00512,Yes,Yes,Yes,Yes,Yes
S000485,U01498,Yes,Yes,Yes,Yes,No
S000486,U02967,Yes,Yes,Yes,Yes,Yes
S000487,U05841,Yes,No,No,Yes,Yes
S000488,U07230,Yes,Yes,Yes,Yes,No
S000489,U05097,Yes,Yes,Yes,No,Yes
S000490,U00886,Yes,Yes,Yes,Yes,No
S000491,U07074,Yes,Yes,Yes,No,Yes
S000492,U02807,Yes,No,No,No,Yes
S000493,U03395,Yes,Yes,Yes,Yes,No
S000494,U06856,Yes,Yes,Yes,Yes,No
S000495,U02331,Yes,Yes,No,No,Yes
S000496,U08726,Yes,Yes,Yes,No,No
S000497,U04621,Yes,Yes,Yes,Yes,Yes
S000498,U03410,Yes,Yes,Yes,Yes,No
S000499,U00610,Yes,No,Yes,Yes,Yes
S000500,U08432,Yes,Yes,Yes,No,Yes
S000501,U02316,Yes,Yes,Yes,No,No
S000502,U03761,Yes,Yes,No,No,Yes
S000503,U00035,Yes,Yes,Yes,Yes,Yes
S000504,U05131,Yes,Yes,Yes,No,No
S000505,U06728,Yes,No,Yes,Yes,Yes
S000506,U09021,Yes,Yes,No,Yes,No
S000507,U08637,Yes,Yes,Yes,No,No
S000508,U08318,Yes,Yes,Yes,No,No
S000509,U02495,Yes,No,No,Yes,Yes
S000510,U05488,Yes,Yes,Yes,No,Yes
S000511,U06092,Yes,Yes,No,Yes,Yes
S000512,U05113,Yes,Yes,Yes,No,Yes
S000513,U03578,Yes,Yes,Yes,No,Yes
S000514,U01432,Yes,Yes,Yes,Yes,Yes
S000515,U02085,Yes,Yes,Yes,No,Yes
S000516,U03834,Yes,Yes,Yes,No,No
S000517,U09954,Yes,Yes,Yes,Yes,Yes
S000518,U07892,Yes,Yes,Yes,Yes,Yes
S000519,U08562,Yes,Yes,No,No,No
S000520,U08090,Yes,Yes,Yes,No,No
S000521,U06176,Yes,No,No,Yes,No
S000522,U04556,Yes,No,No,No,Yes
S000523,U02761,Yes,Yes,No,Yes,Yes
S000524,U08758,Yes,Yes,Yes,Yes,No
S000525,U07963,Yes,Yes,Yes,No,Yes
S000526,U03905,Yes,Yes,Yes,No,Yes
S000527,U05593,Yes,Yes,No,Yes,Yes
S000528,U01241,Yes,Yes,Yes,No,No
S000529,U07981,Yes,Yes,No,Yes,No
S000530,U02270,Yes,Yes,Yes,Yes,Yes
S000531,U02711,Yes,Yes,No,No,Yes
S000532,U00132,Yes,No,Yes,Yes,No
S000533,U02458,Yes,Yes,No,Yes,No
S000534,U05607,Yes,Yes,Yes,Yes,Yes
S000535,U00134,Yes,Yes,No,Yes,Yes
S000536,U08019,Yes,Yes,Yes,No,No
S000537,U03189,Yes,Yes,Yes,Yes,Yes
S000538,U07480,Yes,Yes,Yes,Yes,Yes
S000539,U06355,Yes,Yes,No,Yes,No
S000540,U05161,Yes,No,Yes,No,Yes
S000541,U09972,Yes,Yes,Yes,Yes,No
